Teams_host,,Teams_guest,host,guest
Man Utd,vs,Arsenal,1,0
Swansea,vs,Stoke,3,3
Sunderland,vs,Man City,1,0
Chelsea,vs,WBA,2,2
S'hampton,vs,Hull City,4,1
C. Palace,vs,Everton,0,0
Everton,vs,Spurs,0,0
Arsenal,vs,Liverpool,2,0
WBA,vs,C. Palace,2,0
Stoke,vs,S'hampton,1,1
Hull City,vs,Sunderland,1,0
Spurs,vs,Hull City,1,0
Chelsea,vs,Man City,2,1
Swansea,vs,West Ham,0,0
Liverpool,vs,WBA,4,1
Man Utd,vs,Stoke,3,2
C. Palace,vs,Arsenal,0,2
West Ham,vs,Man City,1,3
Man Utd,vs,S'hampton,1,1
Everton,vs,Hull City,2,1
Stoke,vs,WBA,0,0
Swansea,vs,Sunderland,4,0
Spurs,vs,West Ham,0,3
WBA,vs,Arsenal,1,1
S'hampton,vs,Swansea,2,0
Sunderland,vs,Man Utd,1,2
Liverpool,vs,C. Palace,3,1
Man City,vs,Everton,3,1
Sunderland,vs,Liverpool,1,3
Swansea,vs,Arsenal,1,2
S'hampton,vs,C. Palace,2,0
Man Utd,vs,WBA,1,2
Hull City,vs,West Ham,1,0
Spurs,vs,Chelsea,1,1
Man City,vs,Man Utd,4,1
Arsenal,vs,Stoke,3,1
C. Palace,vs,Swansea,0,2
Liverpool,vs,S'hampton,0,1
West Ham,vs,Everton,2,3
WBA,vs,Sunderland,3,0
Swansea,vs,Liverpool,2,2
S'hampton,vs,West Ham,0,0
Everton,vs,Chelsea,1,0
Stoke,vs,Man City,0,0
Sunderland,vs,Arsenal,1,3
Man Utd,vs,C. Palace,2,0
Arsenal,vs,Spurs,1,0
WBA,vs,Swansea,0,2
Liverpool,vs,Man Utd,1,0
C. Palace,vs,Sunderland,3,1
West Ham,vs,Stoke,0,1
Man City,vs,Hull City,2,0
Man Utd,vs,Chelsea,0,0
Spurs,vs,Swansea,1,0
S'hampton,vs,Sunderland,1,1
Everton,vs,WBA,0,0
Stoke,vs,C. Palace,2,1
Chelsea,vs,Hull City,2,0
C. Palace,vs,Spurs,0,1
Swansea,vs,Man Utd,1,4
WBA,vs,S'hampton,0,1
Liverpool,vs,Stoke,1,0
Man Utd,vs,B'mouth,3,1
Chelsea,vs,Leicester,1,1
S'hampton,vs,C. Palace,4,1
Stoke,vs,West Ham,2,1
Swansea,vs,Man City,1,1
Watford,vs,Sunderland,2,2
WBA,vs,Liverpool,1,1
Liverpool,vs,Chelsea,1,1
Sunderland,vs,Everton,3,0
West Ham,vs,Man Utd,3,2
Liverpool,vs,Watford,2,0
Man City,vs,Arsenal,2,2
Spurs,vs,S'hampton,1,2
Leicester,vs,Everton,3,1
B'mouth,vs,WBA,1,1
C. Palace,vs,Stoke,2,1
Sunderland,vs,Chelsea,3,2
West Ham,vs,Swansea,1,4
Chelsea,vs,Spurs,2,2
S'hampton,vs,Man City,4,2
Man Utd,vs,Leicester,1,1
Swansea,vs,Liverpool,3,1
Everton,vs,B'mouth,2,1
Stoke,vs,Sunderland,1,1
WBA,vs,West Ham,0,3
Spurs,vs,WBA,1,1
Leicester,vs,Swansea,4,0
Sunderland,vs,Arsenal,0,0
B'mouth,vs,Chelsea,1,4
Man City,vs,Stoke,4,0
Arsenal,vs,WBA,2,0
Liverpool,vs,Everton,4,0
Man Utd,vs,C. Palace,2,0
West Ham,vs,Watford,3,1
Stoke,vs,Spurs,0,4
Arsenal,vs,C. Palace,1,1
B'mouth,vs,Liverpool,1,2
Leicester,vs,West Ham,2,2
Chelsea,vs,Man City,0,3
Everton,vs,S'hampton,1,1
